date,time,location,download,upload,latency
2022-04-08,00:41,Gribskov,1667.36,693.29,35.55 ms
2022-05-24,16:06,Morsø,1500.13,1037.81,28.3 ms
2022-01-24,00:04,Faaborg-Midtfyn,826.09,615.44,54.3 ms
2022-10-28,13:03,Glostrup,1671.1,675.55,25.35 ms
2022-07-09,21:52,Varde,711.97,970.49,11.85 ms
2022-01-05,20:37,Frederikshavn,2086.83,927.81,5.54 ms
2022-09-29,15:51,Ishøj,46.49,737.62,27.27 ms
2022-05-30,15:23,Slagelse,1382.89,966.14,55.81 ms
2022-04-21,05:46,Kalundborg,639.82,402.49,33.2 ms
2022-10-01,03:06,Horsens,2161.85,495.71,34.26 ms
2022-07-22,06:19,Skanderborg,1436.63,1137.33,25.42 ms
2022-02-13,07:25,Kalundborg,2280.82,945.02,52.62 ms
2022-12-02,20:26,Rødovre,2430.74,995.26,48.16 ms
2022-01-12,03:23,Syddjurs,1069.75,918.26,19.38 ms
2022-04-27,05:20,Faxe,1126.64,603.27,15.25 ms
2022-01-19,11:15,Guldborgsund,862.19,1131.22,2.13 ms
2022-05-24,09:13,Fanø,686.04,347.31,7.15 ms
2022-03-25,09:15,Aabenraa,1159.77,1158.61,38.05 ms
2022-10-02,11:59,Næstved,2131.62,81.13,45.91 ms
2022-08-17,20:37,Middelfart,587.75,948.5,8.15 ms
2022-03-28,01:53,Roskilde,2546.94,545.74,38.25 ms
2022-03-12,09:38,Odense,1596.51,330.9,28.07 ms
2022-01-03,00:35,Ærø,1674.21,768.75,47.29 ms
2022-10-27,20:17,Skanderborg,968.61,1253.21,41.16 ms
2022-07-27,20:11,Skive,1714.33,764.56,43.08 ms
2022-05-28,10:22,Læsø,1797.26,2.45,37.69 ms
2022-02-19,05:49,Fredericia,2141.79,615.59,25.86 ms
2022-08-15,13:00,Guldborgsund,782.06,202.71,34.49 ms
2022-02-26,19:21,Slagelse,31.67,126.64,25.9 ms
2022-05-15,02:59,Gribskov,1212.76,914.75,46.17 ms
2022-08-31,02:58,Syddjurs,1475.49,1163.91,36.52 ms
2022-05-29,04:01,Høje-Taastrup,369.05,477.96,34.17 ms
2022-02-13,21:49,Tårnby,343.76,1178.07,5.36 ms
2022-06-13,04:06,Haderslev,2357.57,1270.25,11.34 ms
2022-02-26,07:43,Faxe,1493.19,863.77,3.01 ms
2022-12-07,16:19,Halsnæs,262.76,478.7,36.11 ms
2022-11-19,11:30,Allerød,1605.09,568.67,27.66 ms
2022-09-25,21:22,Gladsaxe,1072.34,174.81,54.67 ms
2022-10-23,10:41,Vejle,1130.84,1197.84,36.79 ms
2022-11-12,00:20,Herning,2549.4,465.7,23.77 ms
2022-08-12,09:21,Odder,1044.0,990.08,24.33 ms
2022-06-15,17:21,Faxe,2159.96,623.91,38.47 ms
2022-03-12,02:39,Lejre,1909.17,56.58,12.11 ms
2022-02-25,09:25,Langeland,1723.49,1028.02,41.7 ms
2022-09-13,10:06,Favrskov,1516.52,139.4,49.16 ms
2022-12-27,20:05,Gentofte,2226.83,172.45,48.03 ms
2022-09-11,23:22,Hvidovre,273.53,1066.39,3.82 ms
2022-03-31,23:12,Hørsholm,2088.69,64.77,5.37 ms
2022-03-25,11:12,Vejle,1629.39,737.38,16.04 ms
2022-06-30,23:00,Nordfyn,1275.01,44.0,43.06 ms
2022-04-21,06:16,Hørsholm,175.58,1015.32,19.4 ms
2022-12-03,23:54,Odense,2409.88,256.51,32.61 ms
2022-07-14,00:02,Albertslund,710.37,518.39,46.82 ms
2022-09-07,10:07,Vejen,1980.29,1141.73,24.52 ms
2022-10-07,19:15,Horsens,178.8,957.17,52.56 ms
2022-05-24,01:07,Vallensbæk,564.42,603.21,17.09 ms
2022-03-08,20:02,Hvidovre,682.96,1107.61,40.66 ms
2022-10-01,06:26,Lejre,911.2,232.39,40.82 ms
2022-10-31,04:05,Helsingør,1049.84,872.9,32.31 ms
2022-04-30,17:02,Kolding,1365.14,605.5,21.28 ms
2022-10-01,16:14,Vejle,1966.58,1097.22,8.77 ms
2022-06-03,09:55,Frederikshavn,65.14,224.48,10.98 ms
2022-08-05,09:21,Greve,464.63,537.72,52.21 ms
2022-10-14,11:59,Haderslev,509.75,904.91,23.28 ms
2022-10-31,01:31,Nordfyn,2427.05,110.08,17.81 ms
2022-04-11,20:07,Faxe,2226.43,637.78,31.63 ms
2022-03-26,13:51,Ishøj,118.2,621.43,18.71 ms
2022-06-24,16:17,Roskilde,1919.21,336.78,19.78 ms
2022-11-03,04:25,Faxe,1221.69,896.09,6.84 ms
2022-07-30,19:05,Assens,1185.6,914.91,25.54 ms
2022-08-05,16:59,Nyborg,1897.71,29.48,25.97 ms
2022-12-25,13:13,Rudersdal,1265.95,1223.46,37.45 ms
2022-08-14,01:15,Fredericia,1572.61,514.44,23.04 ms
2022-12-17,17:58,Dragør,2309.53,1236.44,43.58 ms
2022-09-19,11:50,Skive,802.27,621.7,31.64 ms
2022-09-29,18:29,Skive,1970.9,836.87,53.06 ms
2022-07-22,19:23,Herlev,1565.84,32.07,32.6 ms
2022-04-14,00:31,Høje-Taastrup,910.51,569.86,8.26 ms
2022-07-10,15:42,Solrød,2470.25,78.36,53.83 ms
2022-02-26,19:25,Hillerød,477.2,1024.11,11.43 ms
2022-09-12,22:08,Middelfart,1786.42,1041.98,30.75 ms
2022-01-25,19:53,Ishøj,1935.27,238.39,44.83 ms
2022-07-22,15:08,Gentofte,2199.97,853.25,30.75 ms
2022-07-01,14:04,Solrød,402.04,1161.07,4.95 ms
2022-05-17,04:32,Frederikshavn,2376.46,1208.16,6.99 ms
2022-01-08,13:50,Skive,2307.69,1226.71,46.09 ms
2022-04-30,16:47,Ringsted,2439.3,295.11,34.66 ms
2022-07-11,13:00,Hedensted,2543.49,355.43,40.88 ms
2022-11-12,11:18,Allerød,2283.65,159.83,23.61 ms
2022-05-17,12:04,Herlev,1416.73,531.32,22.45 ms
2022-09-01,11:16,Kerteminde,149.2,626.45,55.02 ms
2022-12-04,09:22,Frederiksberg,892.94,973.01,30.24 ms
2022-12-08,08:08,Middelfart,2095.61,427.13,25.03 ms
2022-03-26,17:44,Varde,1152.68,885.12,42.85 ms
2022-11-06,09:00,Thisted,729.26,1038.7,42.77 ms
2022-06-24,01:21,Syddjurs,696.08,257.11,52.87 ms
2022-08-10,20:08,Faaborg-Midtfyn,2076.27,643.42,14.15 ms
2022-04-04,15:49,Billund,1173.7,70.06,42.12 ms
2022-09-04,07:28,Hillerød,946.27,888.37,3.47 ms
2022-02-11,04:22,Odder,455.97,565.68,32.36 ms
2022-09-02,20:20,Lemvig,1835.81,79.15,45.25 ms
2022-07-26,16:48,Fredensborg,2237.71,957.7,8.13 ms
2022-02-25,01:46,Faxe,1069.23,387.21,42.37 ms
2022-06-04,01:19,Solrød,443.34,915.08,30.53 ms
2022-06-15,11:44,Stevns,737.75,1136.63,52.26 ms
2022-03-18,02:01,Odder,1570.45,87.42,51.14 ms
2022-01-04,00:15,Sorø,1680.62,760.05,32.71 ms
2022-10-05,18:40,Vallensbæk,2548.17,893.59,21.24 ms
2022-02-04,05:43,Vesthimmerland,660.72,537.2,38.46 ms
2022-04-24,05:09,Tårnby,2106.54,753.39,5.21 ms
2022-02-13,10:54,Gladsaxe,856.55,759.61,45.94 ms
2022-07-22,12:47,Brøndby,187.73,1155.04,31.31 ms
2022-08-18,21:09,Middelfart,896.77,459.34,32.63 ms
2022-09-28,09:44,Stevns,1277.29,654.7,22.81 ms
2022-05-31,01:00,Syddjurs,1473.03,884.69,19.2 ms
2022-01-30,11:38,Aarhus,2462.54,413.88,25.76 ms
2022-05-30,11:54,Samsø,2114.54,1184.72,22.44 ms
2022-03-16,21:20,Syddjurs,920.87,149.89,7.67 ms
2022-07-25,11:14,Hedensted,2081.67,290.47,16.05 ms
2022-02-08,05:03,Gribskov,252.66,1092.63,44.04 ms
2022-08-19,13:29,Billund,2271.37,64.12,3.08 ms
2022-10-10,06:11,Herlev,893.94,469.64,9.09 ms
2022-12-25,23:03,Copenhagen,104.3,540.15,49.66 ms
2022-12-24,23:26,Vejle,1482.29,96.67,47.71 ms
2022-05-19,12:43,Solrød,1848.58,976.15,18.7 ms
2022-11-11,10:58,Herning,406.88,383.62,11.35 ms
2022-02-10,10:33,Gentofte,1603.14,586.8,22.38 ms
2022-03-29,23:44,Billund,120.37,1267.09,25.27 ms
2022-01-25,07:00,Varde,1615.99,192.98,14.77 ms
2022-10-07,09:20,Morsø,1347.13,507.99,29.9 ms
2022-02-05,05:18,Struer,2165.29,553.14,41.81 ms
2022-11-08,01:02,Frederikshavn,1022.26,471.06,55.42 ms
2022-06-07,02:17,Greve,1549.79,910.46,55.65 ms
2022-08-08,04:17,Svendborg,2018.89,1273.72,13.14 ms
2022-11-15,23:01,Kolding,2455.2,200.06,20.97 ms
2022-11-30,04:18,Solrød,476.63,58.27,4.25 ms
2022-12-12,18:22,Faxe,1113.21,163.2,51.9 ms
2022-01-28,07:01,Randers,739.14,988.59,49.1 ms
2022-03-02,16:01,Furesø,1701.68,919.74,27.31 ms
2022-07-31,17:07,Aarhus,523.35,124.92,30.88 ms
2022-09-30,21:18,Hørsholm,407.87,799.29,20.9 ms
2022-07-10,23:46,Frederikshavn,1101.3,585.22,17.62 ms
2022-06-02,07:17,Furesø,326.98,1279.9,50.63 ms
2022-12-04,09:39,Varde,654.06,928.15,31.69 ms
2022-05-30,09:52,Billund,1226.3,998.3,22.68 ms
2022-07-26,00:36,Copenhagen,1534.18,435.49,53.45 ms
2022-06-22,03:10,Roskilde,919.83,55.34,6.74 ms
2022-01-04,22:38,Thisted,2478.94,86.32,22.64 ms
2022-11-17,21:47,Køge,2531.23,54.51,29.61 ms
2022-08-29,11:23,Mariagerfjord,2023.66,272.87,21.28 ms
2022-05-23,08:17,Næstved,512.52,1249.78,20.01 ms
2022-04-30,00:16,Lemvig,926.02,564.7,38.53 ms
2022-01-30,20:54,Solrød,428.57,887.73,17.6 ms
2022-07-11,05:15,Vallensbæk,2297.93,890.85,50.32 ms
2022-08-09,18:17,Lolland,931.29,280.54,10.04 ms
2022-04-10,22:01,Varde,34.75,708.75,49.66 ms
2022-12-03,04:19,Rudersdal,227.23,112.03,31.03 ms
2022-03-29,23:09,Solrød,330.95,1074.86,7.67 ms
2022-08-13,15:23,Mariagerfjord,821.76,450.13,9.3 ms
2022-05-31,20:12,Haderslev,775.7,204.31,26.13 ms
2022-12-03,23:38,Lejre,2216.61,944.09,54.52 ms
2022-06-10,17:40,Læsø,2091.92,1176.62,16.41 ms
2022-07-23,01:41,Ballerup,1806.15,264.38,10.43 ms
2022-03-14,20:45,Herning,875.6,162.76,37.08 ms
2022-06-29,08:23,Hedensted,2165.97,503.17,31.28 ms
2022-01-01,17:27,Guldborgsund,1361.28,259.09,13.85 ms
2022-02-08,05:54,Frederikssund,1446.3,5.87,25.15 ms
2022-04-29,21:59,Frederiksberg,1199.28,584.24,52.65 ms
2022-10-11,14:52,Solrød,1801.05,1241.43,13.86 ms
2022-05-19,19:16,Rødovre,2188.53,1080.0,48.13 ms
2022-04-06,17:48,Helsingør,2362.88,128.3,30.72 ms
2022-09-28,04:00,Rudersdal,1592.35,250.85,29.37 ms
2022-07-20,01:59,Holstebro,266.37,810.39,11.41 ms
2022-02-21,05:13,Bornholm,1200.99,792.9,10.62 ms
2022-04-08,05:21,Assens,1200.91,887.77,39.01 ms
2022-06-22,14:14,Nordfyn,1377.16,1203.4,44.99 ms
2022-12-19,18:57,Læsø,538.2,606.11,48.84 ms
2022-01-31,12:12,Faxe,785.31,1059.19,41.79 ms
2022-03-19,06:58,Furesø,373.13,423.63,42.72 ms
2022-01-24,18:48,Gladsaxe,2448.56,669.73,45.28 ms
2022-10-24,00:54,Faaborg-Midtfyn,2390.61,591.24,52.46 ms
2022-01-29,02:32,Varde,1015.76,1091.69,13.83 ms
2022-10-21,07:39,Guldborgsund,1552.78,237.72,36.77 ms
2022-01-19,16:05,Skive,1251.78,356.18,30.26 ms
2022-11-08,19:08,Odense,478.99,787.4,26.98 ms
2022-12-08,19:06,Gribskov,2151.91,543.65,32.16 ms
2022-07-20,11:56,Albertslund,2321.33,1175.48,43.68 ms
2022-11-23,01:58,Frederikssund,2332.12,433.52,37.41 ms
2022-01-05,22:05,Odder,463.26,1201.18,47.55 ms
2022-01-27,05:06,Assens,2067.7,741.51,24.14 ms
2022-08-02,13:17,Odense,1034.61,342.89,25.76 ms
2022-07-09,18:39,Copenhagen,140.8,64.27,23.81 ms
2022-11-10,08:43,Rebild,1135.45,1243.98,52.51 ms
2022-12-28,03:41,Odense,1863.87,1084.22,2.41 ms
2022-06-26,05:56,Copenhagen,1844.6,1033.77,55.63 ms
2022-06-21,23:04,Morsø,524.73,1065.91,46.89 ms
2022-06-19,19:16,Hillerød,2335.63,362.64,6.24 ms
2022-07-11,17:17,Ærø,1249.53,499.76,17.19 ms
2022-02-21,15:45,Assens,2506.76,354.35,45.23 ms
2022-10-22,00:33,Holbæk,2045.59,567.01,19.29 ms
2022-08-01,21:00,Odsherred,172.35,975.97,54.86 ms
2022-04-27,15:44,Helsingør,596.39,961.66,34.85 ms
2022-05-15,01:15,Tårnby,2244.72,933.75,19.13 ms
2022-02-14,11:42,Roskilde,1862.03,891.84,19.66 ms
2022-09-15,19:22,Viborg,1317.85,944.73,4.05 ms
2022-08-02,15:59,Vejle,1620.46,656.4,3.94 ms
2022-11-02,20:05,Sorø,364.58,574.26,27.61 ms
2022-02-28,15:11,Brøndby,1318.54,1117.26,41.01 ms
2022-02-13,08:24,Odder,181.12,545.81,6.8 ms
2022-04-28,15:34,Vejen,2244.54,657.87,34.56 ms
2022-02-20,21:30,Brøndby,1869.93,559.97,14.09 ms
2022-11-23,17:45,Odsherred,691.65,577.46,41.68 ms
2022-10-09,00:28,Brønderslev,74.59,561.06,17.69 ms
2022-03-17,17:55,Køge,511.93,1005.72,41.26 ms
2022-05-07,18:19,Kalundborg,2226.92,418.61,4.79 ms
2022-05-03,02:20,Silkeborg,937.31,511.46,19.83 ms
2022-08-20,13:11,Horsens,2201.95,833.75,30.82 ms
2022-04-01,09:01,Mariagerfjord,2420.08,108.13,3.48 ms
2022-11-06,20:33,Fanø,1043.49,361.75,37.61 ms
2022-07-31,14:17,Randers,1555.63,20.92,26.98 ms
2022-02-21,00:54,Vesthimmerland,2044.83,813.34,42.94 ms
2022-04-15,09:55,Jammerbugt,1322.24,431.46,4.2 ms
2022-03-24,04:49,Odder,1494.55,367.86,49.49 ms
2022-05-11,01:10,Viborg,1175.66,570.57,40.94 ms
2022-06-10,20:20,Ikast-Brande,1165.48,1040.76,40.41 ms
2022-04-22,05:57,Faaborg-Midtfyn,1162.82,907.81,22.94 ms
2022-11-14,19:11,Struer,1994.52,678.26,49.36 ms
2022-10-11,12:58,Holstebro,78.24,511.06,20.65 ms
2022-10-04,20:39,Faxe,1009.0,864.57,54.74 ms
2022-10-13,14:43,Frederikshavn,1242.38,522.6,6.8 ms
2022-08-25,14:35,Middelfart,125.13,1258.26,45.3 ms
2022-07-09,14:04,Lemvig,2113.92,613.41,23.71 ms
2022-07-26,00:28,Gribskov,2206.51,691.14,33.34 ms
2022-02-24,11:11,Hjørring,101.24,1187.78,13.72 ms
2022-11-09,11:59,Køge,175.09,891.68,25.16 ms
2022-11-28,22:33,Struer,1921.73,1008.87,3.33 ms
2022-09-22,13:58,Allerød,1991.24,624.77,35.48 ms
2022-09-30,03:52,Lyngby-Taarbæk,2161.51,776.07,8.94 ms
2022-08-23,22:41,Furesø,981.56,699.38,42.99 ms
2022-02-22,15:15,Greve,180.28,333.45,54.47 ms
2022-06-29,01:37,Esbjerg,1382.77,1152.67,12.83 ms
2022-09-18,23:57,Odder,190.23,910.28,37.92 ms
2022-10-03,12:37,Kalundborg,725.41,762.21,55.0 ms
2022-01-31,01:45,Holstebro,2238.0,69.4,21.15 ms
2022-10-13,23:15,Brønderslev,41.71,552.01,22.66 ms
2022-11-26,20:29,Rødovre,1660.12,1203.19,29.47 ms
2022-10-28,02:53,Rødovre,2313.35,102.78,28.84 ms
2022-01-13,20:48,Kalundborg,2559.11,1197.51,24.48 ms
2022-06-30,09:51,Lyngby-Taarbæk,2457.77,715.98,12.1 ms
2022-06-24,10:55,Hjørring,846.81,311.47,10.17 ms
2022-06-03,00:01,Vallensbæk,845.5,1251.76,17.57 ms
2022-03-14,12:12,Viborg,1073.99,159.87,51.08 ms
2022-04-03,20:24,Ballerup,38.63,675.76,7.02 ms
2022-10-12,19:30,Varde,1747.1,1065.27,17.98 ms
2022-05-26,05:32,Langeland,1251.67,653.25,50.73 ms
2022-12-13,23:29,Halsnæs,905.93,184.27,41.47 ms
2022-08-22,06:59,Frederikssund,1275.13,30.46,15.62 ms
2022-12-29,22:25,Lejre,1397.01,597.89,11.8 ms
2022-04-20,16:36,Solrød,2211.65,916.17,20.24 ms
2022-04-23,06:29,Silkeborg,1892.71,34.04,38.22 ms
2022-04-15,13:44,Nyborg,834.71,570.1,20.42 ms
2022-01-19,09:11,Lejre,1053.43,459.57,34.73 ms
2022-01-16,11:06,Næstved,2294.07,240.42,44.16 ms
2022-03-26,16:31,Skive,1041.28,739.75,51.94 ms
2022-03-08,08:24,Esbjerg,1047.06,1253.42,49.38 ms
2022-03-24,03:57,Norddjurs,582.26,465.25,9.66 ms
2022-10-04,02:24,Albertslund,2309.37,937.52,18.54 ms
2022-09-23,14:32,Hjørring,2270.27,180.63,5.8 ms
2022-09-23,21:48,Fanø,2521.83,59.05,4.09 ms
2022-08-28,01:57,Esbjerg,1999.59,734.69,51.48 ms
2022-10-29,15:16,Ikast-Brande,2268.37,546.72,21.11 ms
2022-07-17,02:28,Rudersdal,1060.6,181.14,54.41 ms
2022-03-07,14:38,Svendborg,2165.85,282.06,22.05 ms
2022-01-02,11:27,Frederikssund,1733.33,437.47,12.1 ms
2022-11-08,00:10,Rebild,692.39,351.63,22.09 ms
2022-09-06,18:16,Ærø,127.07,175.79,25.29 ms
2022-10-19,20:26,Viborg,2392.05,970.74,53.48 ms
2022-10-02,22:22,Helsingør,2329.22,1077.52,18.0 ms
2022-01-03,14:57,Rudersdal,667.71,806.5,15.9 ms
2022-10-17,12:29,Odsherred,724.57,532.6,11.31 ms
2022-01-21,13:18,Esbjerg,1421.46,967.22,14.59 ms
2022-03-29,18:02,Hedensted,41.98,10.08,22.9 ms
2022-01-04,00:27,Odense,75.25,952.4,2.51 ms
2022-12-28,22:03,Faxe,1296.95,477.45,19.46 ms
2022-07-26,21:59,Frederikssund,54.56,896.5,12.74 ms
2022-03-30,20:48,Mariagerfjord,1793.26,96.54,25.0 ms
2022-07-03,16:31,Odsherred,1981.37,1156.09,53.03 ms
2022-07-12,15:24,Skanderborg,113.25,334.44,54.97 ms
2022-12-15,23:21,Ballerup,1332.69,362.74,26.48 ms
2022-06-20,08:47,Billund,537.05,1235.17,46.07 ms
2022-04-27,04:59,Ikast-Brande,2110.06,1198.95,48.4 ms
2022-05-06,09:44,Odense,1960.04,357.66,45.99 ms
2022-10-07,14:23,Herlev,96.16,453.99,55.66 ms
2022-02-06,12:46,Varde,1230.94,984.55,5.47 ms
2022-11-06,21:38,Syddjurs,958.6,264.23,18.91 ms
2022-08-19,12:19,Gentofte,1619.86,1077.97,13.79 ms
2022-11-21,01:54,Samsø,2501.3,390.83,50.52 ms
2022-05-13,04:40,Ringsted,976.32,408.06,23.22 ms
2022-04-16,22:02,Ringkøbing-Skjern,272.05,833.39,49.34 ms
2022-05-01,06:41,Skanderborg,2385.67,1125.5,19.67 ms
2022-10-13,00:58,Ikast-Brande,1883.99,716.86,32.65 ms
2022-09-14,05:39,Ballerup,1851.68,607.3,19.91 ms
2022-10-23,08:40,Roskilde,1651.8,544.21,6.42 ms
2022-08-04,09:23,Odder,1681.75,57.69,27.17 ms
2022-07-10,22:03,Samsø,427.1,22.72,53.55 ms
2022-05-14,06:10,Faxe,492.02,861.2,17.34 ms
2022-06-21,12:00,Jammerbugt,660.61,101.8,51.72 ms
2022-06-03,22:08,Høje-Taastrup,2371.63,1022.49,20.12 ms
2022-08-05,15:39,Assens,1251.31,963.72,4.66 ms
2022-10-27,04:19,Gladsaxe,2271.77,1086.74,40.63 ms
2022-04-28,05:48,Ikast-Brande,191.97,197.27,43.29 ms
2022-03-28,02:37,Frederikssund,81.51,1121.7,16.83 ms
2022-08-09,07:33,Hvidovre,1150.07,750.9,5.77 ms
2022-03-20,08:19,Silkeborg,1032.88,938.24,28.24 ms
